Foundation,url,shade,hex,hue,sat,lightness,red,green,blue
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 1W1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Shell,"(239, 203, 164)",31.2,0.700934579439252,0.790196078431373,239,203,164
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 1N1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Linen,"(243, 206, 176)",26.865671641791,0.7362637362637359,0.8215686274509799,243,206,176
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 1C1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Alabaster,"(242, 203, 180)",22.258064516128997,0.704545454545454,0.827450980392157,242,203,180
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 1N2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Porcelain,"(246, 200, 167)",25.063291139240498,0.8144329896907221,0.809803921568627,246,200,167
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 1C2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Ivory,"(240, 196, 171)",21.7391304347826,0.696969696969697,0.8058823529411758,240,196,171
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 1W2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Sand,"(242, 199, 157)",29.647058823529395,0.765765765765766,0.7823529411764709,242,199,157
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 1N3,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Cashmere,"(223, 179, 138)",28.941176470588196,0.570469798657718,0.707843137254902,223,179,138
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 2W1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Vanilla,"(238, 194, 156)",27.8048780487805,0.706896551724138,0.7725490196078431,238,194,156
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 2C1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Bisque,"(234, 180, 152)",20.487804878048802,0.661290322580645,0.7568627450980391,234,180,152
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 2N1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Cashew,"(221, 173, 140)",24.4444444444444,0.5436241610738259,0.707843137254902,221,173,140
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 2C2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Teak,"(229, 174, 143)",21.6279069767442,0.6231884057971011,0.7294117647058821,229,174,143
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 2N2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Desert,"(224, 174, 140)",24.285714285714302,0.5753424657534251,0.713725490196078,224,174,140
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 2W2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Buff,"(225, 177, 134)",28.351648351648397,0.6026490066225171,0.7039215686274509,225,177,134
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3W1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Buttercup,"(226, 173, 127)",27.8787878787879,0.630573248407643,0.692156862745098,226,173,127
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3N1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Camel,"(213, 156, 121)",22.826086956521696,0.5227272727272729,0.654901960784314,213,156,121
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3N2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Noisette,"(212, 153, 113)",24.242424242424196,0.535135135135135,0.6372549019607839,212,153,113
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3C1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Pebble,"(216, 162, 132)",21.4285714285714,0.5185185185185179,0.6823529411764712,216,162,132
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3W2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Driftwood,"(219, 166, 121)",27.5510204081633,0.576470588235294,0.666666666666667,219,166,121
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3C2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Cassava,"(210, 155, 123)",22.0689655172414,0.49152542372881397,0.652941176470588,210,155,123
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3N3,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Khaki,"(206, 151, 112)",24.893617021276604,0.4895833333333329,0.6235294117647061,206,151,112
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 3W3,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Olive,"(204, 154, 112)",27.3913043478261,0.474226804123711,0.619607843137255,204,154,112
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 4W1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Hazel,"(195, 131, 83)",25.714285714285698,0.482758620689655,0.545098039215686,195,131,83
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 4C1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Fawn,"(173, 109, 75)",20.816326530612198,0.395161290322581,0.486274509803922,173,109,75
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 4W2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Bamboo,"(170, 109, 70)",23.4,0.4166666666666671,0.47058823529411803,170,109,70
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 4N1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Tan,"(170, 117, 85)",22.588235294117602,0.33333333333333304,0.5,170,117,85
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 4N2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Café,"(165, 105, 73)",20.8695652173913,0.38655462184873995,0.46666666666666706,165,105,73
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 4C2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Sepia,"(163, 100, 70)",19.3548387096774,0.39914163090128796,0.456862745098039,163,100,70
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 5W1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Amber,"(160, 99, 63)",22.2680412371134,0.43497757847533597,0.437254901960784,160,99,63
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 5W2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Maple,"(150, 88, 55)",20.8421052631579,0.463414634146341,0.401960784313726,150,88,55
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 5N1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Terracotta,"(134, 80, 52)",20.487804878048802,0.44086021505376294,0.36470588235294105,134,80,52
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 5W3,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Cardamom,"(121, 68, 44)",18.7012987012987,0.46666666666666706,0.323529411764706,121,68,44
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 5W4,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Coconut,"(117, 65, 39)",20.0,0.5,0.30588235294117605,117,65,39
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 5C1,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Walnut,"(108, 57, 35)",18.082191780821898,0.510489510489511,0.280392156862745,108,57,35
BECCA Cosmetics Ultimate Coverage 24 Hour Foundation 5N2,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Mocha,"(116, 70, 44)",21.6666666666667,0.45,0.313725490196078,116,70,44
